Date,Product_ID,Region,Historical_Demand_Units,Unit_Price_USD,Lead_Time_Days,Current_Stock_Level,Predicted_30Day_Demand,Reorder_Point,Inventory_Health_Status
2025-01-04,PRD_003_Keyboards,West,114,45,12,1094,138,68,OVERSTOCK_WARNING
2025-01-04,PRD_004_Processors,North,131,400,11,310,159,72,OPTIMAL
2025-01-04,PRD_004_Processors,South,168,400,11,362,204,92,OPTIMAL
2025-01-04,PRD_004_Processors,East,160,400,6,1052,194,48,OVERSTOCK_WARNING
2025-01-04,PRD_004_Processors,West,42,400,9,789,51,18,OVERSTOCK_WARNING
2025-01-05,PRD_001_Laptops,North,194,850,11,397,235,106,OPTIMAL
2025-01-05,PRD_001_Laptops,South,204,850,3,898,247,30,OVERSTOCK_WARNING
2025-01-05,PRD_001_Laptops,East,211,850,10,1054,256,105,OVERSTOCK_WARNING
2025-01-05,PRD_001_Laptops,West,98,850,8,751,119,39,OVERSTOCK_WARNING
2025-01-05,PRD_002_Monitors,North,135,320,10,312,163,67,OVERSTOCK_WARNING
2025-01-05,PRD_002_Monitors,South,219,320,3,909,266,32,OVERSTOCK_WARNING
2025-01-05,PRD_002_Monitors,East,91,320,9,465,110,40,OVERSTOCK_WARNING
2025-01-05,PRD_002_Monitors,West,170,320,3,692,206,25,OVERSTOCK_WARNING
2025-01-05,PRD_003_Keyboards,North,152,45,10,160,184,76,OPTIMAL
2025-01-05,PRD_003_Keyboards,South,152,45,4,721,184,30,OVERSTOCK_WARNING
2025-01-05,PRD_003_Keyboards,East,93,45,9,1076,112,41,OVERSTOCK_WARNING
2025-01-05,PRD_003_Keyboards,West,168,45,5,717,204,42,OVERSTOCK_WARNING
2025-01-05,PRD_004_Processors,North,169,400,7,763,205,59,OVERSTOCK_WARNING
2025-01-05,PRD_004_Processors,South,199,400,8,495,241,79,OVERSTOCK_WARNING
2025-01-05,PRD_004_Processors,East,107,400,9,282,129,48,OVERSTOCK_WARNING
2025-01-05,PRD_004_Processors,West,162,400,3,846,196,24,OVERSTOCK_WARNING
2025-01-06,PRD_001_Laptops,North,77,850,10,916,93,38,OVERSTOCK_WARNING
2025-01-06,PRD_001_Laptops,South,155,850,4,277,188,31,OVERSTOCK_WARNING
2025-01-06,PRD_001_Laptops,East,178,850,3,280,216,26,OVERSTOCK_WARNING
2025-01-06,PRD_001_Laptops,West,163,850,13,405,198,105,OPTIMAL
2025-01-06,PRD_002_Monitors,North,132,320,5,739,160,33,OVERSTOCK_WARNING
2025-01-06,PRD_002_Monitors,South,203,320,5,425,246,50,OVERSTOCK_WARNING
2025-01-06,PRD_002_Monitors,East,186,320,6,943,225,55,OVERSTOCK_WARNING
2025-01-06,PRD_002_Monitors,West,91,320,11,1008,110,50,OVERSTOCK_WARNING
2025-01-06,PRD_003_Keyboards,North,207,45,9,417,251,93,OPTIMAL
2025-01-06,PRD_003_Keyboards,South,143,45,3,858,173,21,OVERSTOCK_WARNING
2025-01-06,PRD_003_Keyboards,East,217,45,9,494,263,97,OVERSTOCK_WARNING
2025-01-06,PRD_003_Keyboards,West,81,45,5,342,98,20,OVERSTOCK_WARNING
2025-01-06,PRD_004_Processors,North,183,400,12,703,222,109,OVERSTOCK_WARNING
2025-01-06,PRD_004_Processors,South,99,400,3,81,120,14,OVERSTOCK_WARNING
2025-01-06,PRD_004_Processors,East,168,400,7,116,204,58,OPTIMAL
2025-01-06,PRD_004_Processors,West,199,400,13,1094,241,129,OVERSTOCK_WARNING
2025-01-07,PRD_001_Laptops,North,48,850,11,178,58,26,OVERSTOCK_WARNING
2025-01-07,PRD_001_Laptops,South,186,850,5,483,225,46,OVERSTOCK_WARNING
2025-01-07,PRD_001_Laptops,East,191,850,8,199,232,76,OPTIMAL
2025-01-07,PRD_001_Laptops,West,200,850,10,707,242,100,OVERSTOCK_WARNING
2025-01-07,PRD_002_Monitors,North,114,320,3,1047,138,17,OVERSTOCK_WARNING
2025-01-07,PRD_002_Monitors,South,203,320,8,183,246,81,OPTIMAL
2025-01-07,PRD_002_Monitors,East,123,320,5,191,149,30,OVERSTOCK_WARNING
2025-01-07,PRD_002_Monitors,West,138,320,11,940,167,75,OVERSTOCK_WARNING
2025-01-07,PRD_003_Keyboards,North,185,45,4,785,224,37,OVERSTOCK_WARNING
2025-01-07,PRD_003_Keyboards,South,93,45,5,799,112,23,OVERSTOCK_WARNING
2025-01-07,PRD_003_Keyboards,East,208,45,6,240,252,62,OPTIMAL
2025-01-07,PRD_003_Keyboards,West,107,45,3,477,129,16,OVERSTOCK_WARNING
2025-01-07,PRD_004_Processors,North,60,400,6,583,72,18,OVERSTOCK_WARNING
2025-01-07,PRD_004_Processors,South,167,400,10,214,202,83,OPTIMAL
2025-01-07,PRD_004_Processors,East,184,400,3,767,223,27,OVERSTOCK_WARNING
2025-01-07,PRD_004_Processors,West,154,400,8,454,187,61,OVERSTOCK_WARNING
2025-01-08,PRD_001_Laptops,North,61,850,8,309,74,24,OVERSTOCK_WARNING
2025-01-08,PRD_001_Laptops,South,148,850,5,517,179,37,OVERSTOCK_WARNING
2025-01-08,PRD_001_Laptops,East,47,850,13,106,57,30,OPTIMAL
2025-01-08,PRD_001_Laptops,West,60,850,3,363,72,9,OVERSTOCK_WARNING
2025-01-08,PRD_002_Monitors,North,150,320,3,532,182,22,OVERSTOCK_WARNING
2025-01-08,PRD_002_Monitors,South,100,320,5,595,121,25,OVERSTOCK_WARNING
2025-01-08,PRD_002_Monitors,East,74,320,3,591,89,11,OVERSTOCK_WARNING
2025-01-08,PRD_002_Monitors,West,56,320,7,597,68,19,OVERSTOCK_WARNING
2025-01-08,PRD_003_Keyboards,North,138,45,11,116,167,75,OPTIMAL
2025-01-08,PRD_003_Keyboards,South,63,45,3,381,76,9,OVERSTOCK_WARNING
2025-01-08,PRD_003_Keyboards,East,134,45,5,779,162,33,OVERSTOCK_WARNING
2025-01-08,PRD_003_Keyboards,West,155,45,7,1007,188,54,OVERSTOCK_WARNING
2025-01-08,PRD_004_Processors,North,200,400,5,207,242,50,OPTIMAL
2025-01-08,PRD_004_Processors,South,57,400,11,1081,69,31,OVERSTOCK_WARNING
2025-01-08,PRD_004_Processors,East,93,400,12,402,112,55,OVERSTOCK_WARNING
2025-01-08,PRD_004_Processors,West,143,400,10,705,173,71,OVERSTOCK_WARNING
2025-01-09,PRD_001_Laptops,North,71,850,8,742,86,28,OVERSTOCK_WARNING
2025-01-09,PRD_001_Laptops,South,166,850,13,569,201,107,OVERSTOCK_WARNING
2025-01-09,PRD_001_Laptops,East,169,850,12,864,205,101,OVERSTOCK_WARNING
2025-01-09,PRD_001_Laptops,West,143,850,3,472,173,21,OVERSTOCK_WARNING
2025-01-09,PRD_002_Monitors,North,82,320,8,255,99,32,OVERSTOCK_WARNING
2025-01-09,PRD_002_Monitors,South,78,320,12,838,94,46,OVERSTOCK_WARNING
2025-01-09,PRD_002_Monitors,East,65,320,5,897,78,16,OVERSTOCK_WARNING
2025-01-09,PRD_002_Monitors,West,192,320,10,604,233,96,OVERSTOCK_WARNING
2025-01-09,PRD_003_Keyboards,North,99,45,12,982,120,59,OVERSTOCK_WARNING
2025-01-09,PRD_003_Keyboards,South,96,45,6,764,116,28,OVERSTOCK_WARNING
2025-01-09,PRD_003_Keyboards,East,59,45,3,855,71,8,OVERSTOCK_WARNING
2025-01-09,PRD_003_Keyboards,West,183,45,5,550,222,45,OVERSTOCK_WARNING
2025-01-09,PRD_004_Processors,North,182,400,4,913,221,36,OVERSTOCK_WARNING
2025-01-09,PRD_004_Processors,South,71,400,9,1038,86,31,OVERSTOCK_WARNING
2025-01-09,PRD_004_Processors,East,125,400,5,744,151,31,OVERSTOCK_WARNING
2025-01-09,PRD_004_Processors,West,102,400,8,393,123,40,OVERSTOCK_WARNING
2025-01-10,PRD_001_Laptops,North,97,850,8,384,117,38,OVERSTOCK_WARNING
2025-01-10,PRD_001_Laptops,South,219,850,12,917,266,131,OVERSTOCK_WARNING
2025-01-10,PRD_001_Laptops,East,54,850,8,1082,65,21,OVERSTOCK_WARNING
2025-01-10,PRD_001_Laptops,West,140,850,3,343,170,21,OVERSTOCK_WARNING
2025-01-10,PRD_002_Monitors,North,92,320,7,182,111,32,OVERSTOCK_WARNING
2025-01-10,PRD_002_Monitors,South,45,320,6,429,54,13,OVERSTOCK_WARNING
2025-01-10,PRD_002_Monitors,East,86,320,5,902,104,21,OVERSTOCK_WARNING
2025-01-10,PRD_002_Monitors,West,207,320,6,735,251,62,OVERSTOCK_WARNING
2025-01-10,PRD_003_Keyboards,North,52,45,4,715,63,10,OVERSTOCK_WARNING
2025-01-10,PRD_003_Keyboards,South,145,45,5,736,176,36,OVERSTOCK_WARNING
2025-01-10,PRD_003_Keyboards,East,159,45,5,683,193,39,OVERSTOCK_WARNING
2025-01-10,PRD_003_Keyboards,West,97,45,9,425,117,43,OVERSTOCK_WARNING
2025-01-10,PRD_004_Processors,North,156,400,9,206,189,70,OPTIMAL
2025-01-10,PRD_004_Processors,South,176,400,7,720,213,61,OVERSTOCK_WARNING
2025-01-10,PRD_004_Processors,East,97,400,12,592,117,58,OVERSTOCK_WARNING
2025-01-10,PRD_004_Processors,West,73,400,8,639,88,29,OVERSTOCK_WARNING
2025-01-11,PRD_001_Laptops,North,128,850,10,316,155,64,OVERSTOCK_WARNING
2025-01-11,PRD_001_Laptops,South,156,850,3,351,189,23,OVERSTOCK_WARNING
2025-01-11,PRD_001_Laptops,East,108,850,8,940,131,43,OVERSTOCK_WARNING
2025-01-11,PRD_001_Laptops,West,115,850,12,735,139,69,OVERSTOCK_WARNING
2025-01-11,PRD_002_Monitors,North,218,320,7,165,264,76,OPTIMAL
2025-01-11,PRD_002_Monitors,South,68,320,7,126,82,23,OVERSTOCK_WARNING
2025-01-11,PRD_002_Monitors,East,133,320,6,532,161,39,OVERSTOCK_WARNING
2025-01-11,PRD_002_Monitors,West,183,320,12,553,222,109,OVERSTOCK_WARNING
2025-01-11,PRD_003_Keyboards,North,215,45,7,630,261,75,OVERSTOCK_WARNING
2025-01-11,PRD_003_Keyboards,South,139,45,3,333,168,20,OVERSTOCK_WARNING
2025-01-11,PRD_003_Keyboards,East,140,45,9,841,170,63,OVERSTOCK_WARNING
2025-01-11,PRD_003_Keyboards,West,49,45,8,916,59,19,OVERSTOCK_WARNING
2025-01-11,PRD_004_Processors,North,139,400,4,259,168,27,OVERSTOCK_WARNING
2025-01-11,PRD_004_Processors,South,177,400,12,738,215,106,OVERSTOCK_WARNING
2025-01-11,PRD_004_Processors,East,135,400,3,1095,163,20,OVERSTOCK_WARNING
2025-01-11,PRD_004_Processors,West,108,400,6,95,131,32,OPTIMAL
2025-01-12,PRD_001_Laptops,North,63,850,9,337,76,28,OVERSTOCK_WARNING
2025-01-12,PRD_001_Laptops,South,167,850,13,931,202,108,OVERSTOCK_WARNING
2025-01-12,PRD_001_Laptops,East,191,850,4,754,232,38,OVERSTOCK_WARNING
2025-01-12,PRD_001_Laptops,West,163,850,3,1008,198,24,OVERSTOCK_WARNING
2025-01-12,PRD_002_Monitors,North,218,320,13,692,264,141,OVERSTOCK_WARNING
2025-01-12,PRD_002_Monitors,South,51,320,5,656,61,12,OVERSTOCK_WARNING
2025-01-12,PRD_002_Monitors,East,200,320,10,921,242,100,OVERSTOCK_WARNING
2025-01-12,PRD_002_Monitors,West,82,320,4,332,99,16,OVERSTOCK_WARNING
2025-01-12,PRD_003_Keyboards,North,74,45,9,928,89,33,OVERSTOCK_WARNING
2025-01-12,PRD_003_Keyboards,South,129,45,10,684,156,64,OVERSTOCK_WARNING
2025-01-12,PRD_003_Keyboards,East,193,45,12,681,234,115,OVERSTOCK_WARNING
2025-01-12,PRD_003_Keyboards,West,201,45,5,696,244,50,OVERSTOCK_WARNING
2025-01-12,PRD_004_Processors,North,174,400,6,905,211,52,OVERSTOCK_WARNING
2025-01-12,PRD_004_Processors,South,153,400,13,492,185,99,OVERSTOCK_WARNING
2025-01-12,PRD_004_Processors,East,159,400,6,808,193,47,OVERSTOCK_WARNING
2025-01-12,PRD_004_Processors,West,60,400,11,755,72,33,OVERSTOCK_WARNING
2025-01-13,PRD_001_Laptops,North,177,850,7,536,215,61,OVERSTOCK_WARNING
2025-01-13,PRD_001_Laptops,South,191,850,5,768,232,47,OVERSTOCK_WARNING
2025-01-13,PRD_001_Laptops,East,138,850,6,1057,167,41,OVERSTOCK_WARNING
2025-01-13,PRD_001_Laptops,West,135,850,10,742,163,67,OVERSTOCK_WARNING
2025-01-13,PRD_002_Monitors,North,76,320,3,774,92,11,OVERSTOCK_WARNING
2025-01-13,PRD_002_Monitors,South,52,320,9,296,63,23,OVERSTOCK_WARNING
2025-01-13,PRD_002_Monitors,East,138,320,11,877,167,75,OVERSTOCK_WARNING
2025-01-13,PRD_002_Monitors,West,56,320,3,141,68,8,OVERSTOCK_WARNING
2025-01-13,PRD_003_Keyboards,North,123,45,11,421,149,67,OVERSTOCK_WARNING
2025-01-13,PRD_003_Keyboards,South,180,45,13,98,218,117,CRITICAL_STOCKOUT_RISK
2025-01-13,PRD_003_Keyboards,East,216,45,6,475,262,64,OVERSTOCK_WARNING
2025-01-13,PRD_003_Keyboards,West,186,45,11,534,225,102,OVERSTOCK_WARNING
2025-01-13,PRD_004_Processors,North,67,400,6,930,81,20,OVERSTOCK_WARNING
2025-01-13,PRD_004_Processors,South,150,400,7,148,182,52,OPTIMAL
2025-01-13,PRD_004_Processors,East,138,400,11,1027,167,75,OVERSTOCK_WARNING
2025-01-13,PRD_004_Processors,West,162,400,7,563,196,56,OVERSTOCK_WARNING
2025-01-14,PRD_001_Laptops,North,92,850,9,223,111,41,OVERSTOCK_WARNING
2025-01-14,PRD_001_Laptops,South,96,850,9,188,116,43,OPTIMAL
2025-01-14,PRD_001_Laptops,East,81,850,12,1014,98,48,OVERSTOCK_WARNING
2025-01-14,PRD_001_Laptops,West,181,850,12,212,219,108,OPTIMAL
2025-01-14,PRD_002_Monitors,North,202,320,9,812,245,90,OVERSTOCK_WARNING
2025-01-14,PRD_002_Monitors,South,114,320,4,830,138,22,OVERSTOCK_WARNING
2025-01-14,PRD_002_Monitors,East,115,320,11,153,139,63,OPTIMAL
2025-01-14,PRD_002_Monitors,West,184,320,8,598,223,73,OVERSTOCK_WARNING
2025-01-14,PRD_003_Keyboards,North,213,45,10,249,258,106,OPTIMAL
2025-01-14,PRD_003_Keyboards,South,176,45,4,874,213,35,OVERSTOCK_WARNING
2025-01-14,PRD_003_Keyboards,East,161,45,4,596,195,32,OVERSTOCK_WARNING
2025-01-14,PRD_003_Keyboards,West,68,45,7,501,82,23,OVERSTOCK_WARNING
2025-01-14,PRD_004_Processors,North,122,400,10,575,148,61,OVERSTOCK_WARNING
2025-01-14,PRD_004_Processors,South,148,400,3,421,179,22,OVERSTOCK_WARNING
2025-01-14,PRD_004_Processors,East,184,400,9,296,223,82,OPTIMAL
2025-01-14,PRD_004_Processors,West,84,400,6,883,102,25,OVERSTOCK_WARNING
2025-01-15,PRD_001_Laptops,North,109,850,5,524,132,27,OVERSTOCK_WARNING
2025-01-15,PRD_001_Laptops,South,147,850,8,246,178,58,OPTIMAL
2025-01-15,PRD_001_Laptops,East,130,850,12,937,157,78,OVERSTOCK_WARNING
2025-01-15,PRD_001_Laptops,West,58,850,9,205,70,26,OVERSTOCK_WARNING
2025-01-15,PRD_002_Monitors,North,212,320,4,299,257,42,OVERSTOCK_WARNING
2025-01-15,PRD_002_Monitors,South,165,320,12,739,200,99,OVERSTOCK_WARNING
2025-01-15,PRD_002_Monitors,East,100,320,11,1014,121,55,OVERSTOCK_WARNING
2025-01-15,PRD_002_Monitors,West,40,320,5,1052,48,10,OVERSTOCK_WARNING
2025-01-15,PRD_003_Keyboards,North,131,45,11,270,159,72,OPTIMAL
2025-01-15,PRD_003_Keyboards,South,152,45,11,903,184,83,OVERSTOCK_WARNING
2025-01-15,PRD_003_Keyboards,East,200,45,8,196,242,80,OPTIMAL
2025-01-15,PRD_003_Keyboards,West,173,45,12,635,210,103,OVERSTOCK_WARNING
2025-01-15,PRD_004_Processors,North,212,400,7,159,257,74,OPTIMAL
2025-01-15,PRD_004_Processors,South,157,400,7,282,190,54,OVERSTOCK_WARNING
2025-01-15,PRD_004_Processors,East,203,400,5,738,246,50,OVERSTOCK_WARNING
2025-01-15,PRD_004_Processors,West,59,400,11,481,71,32,OVERSTOCK_WARNING
2025-01-16,PRD_001_Laptops,North,86,850,11,384,104,47,OVERSTOCK_WARNING
2025-01-16,PRD_001_Laptops,South,53,850,3,452,64,7,OVERSTOCK_WARNING
2025-01-16,PRD_001_Laptops,East,93,850,8,338,112,37,OVERSTOCK_WARNING
2025-01-16,PRD_001_Laptops,West,183,850,9,1032,222,82,OVERSTOCK_WARNING
2025-01-16,PRD_002_Monitors,North,51,320,12,815,61,30,OVERSTOCK_WARNING
2025-01-16,PRD_002_Monitors,South,55,320,10,437,66,27,OVERSTOCK_WARNING
2025-01-16,PRD_002_Monitors,East,191,320,7,87,232,66,OPTIMAL
2025-01-16,PRD_002_Monitors,West,161,320,6,169,195,48,OPTIMAL
2025-01-16,PRD_003_Keyboards,North,175,45,12,395,212,105,OPTIMAL
2025-01-16,PRD_003_Keyboards,South,217,45,7,120,263,75,OPTIMAL
2025-01-16,PRD_003_Keyboards,East,194,45,8,1038,235,77,OVERSTOCK_WARNING
2025-01-16,PRD_003_Keyboards,West,184,45,11,1008,223,101,OVERSTOCK_WARNING
2025-01-16,PRD_004_Processors,North,196,400,5,332,238,49,OVERSTOCK_WARNING
2025-01-16,PRD_004_Processors,South,173,400,4,962,210,34,OVERSTOCK_WARNING
2025-01-16,PRD_004_Processors,East,86,400,11,529,104,47,OVERSTOCK_WARNING
2025-01-16,PRD_004_Processors,West,49,400,10,877,59,24,OVERSTOCK_WARNING
2025-01-17,PRD_001_Laptops,North,148,850,7,198,179,51,OPTIMAL
2025-01-17,PRD_001_Laptops,South,72,850,8,144,87,28,OVERSTOCK_WARNING
2025-01-17,PRD_001_Laptops,East,185,850,3,858,224,27,OVERSTOCK_WARNING
2025-01-17,PRD_001_Laptops,West,124,850,12,142,150,74,OPTIMAL
2025-01-17,PRD_002_Monitors,North,125,320,13,874,151,81,OVERSTOCK_WARNING
2025-01-17,PRD_002_Monitors,South,216,320,3,689,262,32,OVERSTOCK_WARNING
2025-01-17,PRD_002_Monitors,East,144,320,5,590,174,36,OVERSTOCK_WARNING
2025-01-17,PRD_002_Monitors,West,168,320,7,1087,204,58,OVERSTOCK_WARNING
2025-01-17,PRD_003_Keyboards,North,94,45,8,555,114,37,OVERSTOCK_WARNING
2025-01-17,PRD_003_Keyboards,South,134,45,7,949,162,46,OVERSTOCK_WARNING
2025-01-17,PRD_003_Keyboards,East,42,45,7,102,51,14,OVERSTOCK_WARNING
2025-01-17,PRD_003_Keyboards,West,92,45,7,793,111,32,OVERSTOCK_WARNING
2025-01-17,PRD_004_Processors,North,122,400,3,164,148,18,OVERSTOCK_WARNING
2025-01-17,PRD_004_Processors,South,117,400,11,957,142,64,OVERSTOCK_WARNING
2025-01-17,PRD_004_Processors,East,40,400,5,764,48,10,OVERSTOCK_WARNING
2025-01-17,PRD_004_Processors,West,43,400,3,960,52,6,OVERSTOCK_WARNING
2025-01-18,PRD_001_Laptops,North,71,850,4,427,86,14,OVERSTOCK_WARNING
2025-01-18,PRD_001_Laptops,South,134,850,10,630,162,67,OVERSTOCK_WARNING
2025-01-18,PRD_001_Laptops,East,193,850,12,753,234,115,OVERSTOCK_WARNING
2025-01-18,PRD_001_Laptops,West,157,850,5,970,190,39,OVERSTOCK_WARNING
2025-01-18,PRD_002_Monitors,North,89,320,3,133,108,13,OVERSTOCK_WARNING
2025-01-18,PRD_002_Monitors,South,172,320,13,904,208,111,OVERSTOCK_WARNING
2025-01-18,PRD_002_Monitors,East,184,320,9,286,223,82,OPTIMAL
2025-01-18,PRD_002_Monitors,West,124,320,4,154,150,24,OVERSTOCK_WARNING
2025-01-18,PRD_003_Keyboards,North,218,45,9,501,264,98,OVERSTOCK_WARNING
2025-01-18,PRD_003_Keyboards,South,77,45,4,177,93,15,OVERSTOCK_WARNING
2025-01-18,PRD_003_Keyboards,East,121,45,13,514,146,78,OVERSTOCK_WARNING
2025-01-18,PRD_003_Keyboards,West,91,45,11,245,110,50,OVERSTOCK_WARNING
2025-01-18,PRD_004_Processors,North,118,400,9,185,143,53,OPTIMAL
2025-01-18,PRD_004_Processors,South,90,400,3,212,109,13,OVERSTOCK_WARNING
2025-01-18,PRD_004_Processors,East,68,400,6,217,82,20,OVERSTOCK_WARNING
2025-01-18,PRD_004_Processors,West,184,400,12,864,223,110,OVERSTOCK_WARNING
2025-01-19,PRD_001_Laptops,North,123,850,10,148,149,61,OPTIMAL
2025-01-19,PRD_001_Laptops,South,73,850,8,132,88,29,OVERSTOCK_WARNING
2025-01-19,PRD_001_Laptops,East,165,850,13,122,200,107,OPTIMAL
2025-01-19,PRD_001_Laptops,West,154,850,11,742,187,84,OVERSTOCK_WARNING
2025-01-19,PRD_002_Monitors,North,119,320,13,453,144,77,OVERSTOCK_WARNING
2025-01-19,PRD_002_Monitors,South,183,320,10,979,222,91,OVERSTOCK_WARNING
2025-01-19,PRD_002_Monitors,East,143,320,6,775,173,42,OVERSTOCK_WARNING
2025-01-19,PRD_002_Monitors,West,64,320,5,943,77,16,OVERSTOCK_WARNING
2025-01-19,PRD_003_Keyboards,North,194,45,4,140,235,38,OPTIMAL
2025-01-19,PRD_003_Keyboards,South,161,45,5,482,195,40,OVERSTOCK_WARNING
2025-01-19,PRD_003_Keyboards,East,60,45,7,545,72,21,OVERSTOCK_WARNING
2025-01-19,PRD_003_Keyboards,West,131,45,12,908,159,78,OVERSTOCK_WARNING
2025-01-19,PRD_004_Processors,North,61,400,7,917,74,21,OVERSTOCK_WARNING
2025-01-19,PRD_004_Processors,South,40,400,7,312,48,13,OVERSTOCK_WARNING
2025-01-19,PRD_004_Processors,East,51,400,12,125,61,30,OPTIMAL
2025-01-19,PRD_004_Processors,West,73,400,3,157,88,10,OVERSTOCK_WARNING
2025-01-20,PRD_001_Laptops,North,84,850,13,152,102,54,OPTIMAL
2025-01-20,PRD_001_Laptops,South,65,850,11,126,78,35,OPTIMAL
